city,state,ev_network,total_stations,total_ports,dc_fast_pct,level2_pct,rolling_avg_ports
Union City,CA,ChargePoint Network,24,45,0.0,100.0,45.14
Loma Linda,CA,ChargePoint Network,23,44,0.0,100.0,44.86
Brea,CA,Tesla,2,44,100.0,0.0,46.57
Ukiah,CA,ChargePoint Network,25,44,4.55,95.45,44.71
Hoopa,CA,EVGATEWAY,5,44,18.18,81.82,85.4
Camarillo,CA,Tesla,2,44,100.0,0.0,46.0
Thousand Oaks,CA,Tesla,2,44,100.0,0.0,45.43
Beaumont,CA,Tesla,2,44,100.0,0.0,44.86
Palmdale,CA,Tesla,2,44,100.0,0.0,44.57
Hawaiian Gardens,CA,Tesla,2,44,100.0,0.0,44.29
Sunnyvale,CA,POWERFLEX,3,44,0.0,100.0,56.57
Napa,CA,Tesla,3,44,100.0,0.0,44.0
Palmdale,CA,EVCS,7,43,27.91,72.09,103.75
Tracy,CA,ChargePoint Network,29,43,16.28,83.72,44.43
Foster City,CA,ChargePoint Network,22,43,0.0,100.0,44.14
Martinez,CA,ChargePoint Network,33,43,0.0,100.0,43.86
Malibu,CA,POWERFLEX,1,43,0.0,100.0,53.29
Truckee,CA,Tesla,4,43,100.0,0.0,43.86
Vacaville,CA,ChargePoint Network,25,42,4.76,95.24,43.43
National City,CA,ChargePoint Network,24,42,4.76,95.24,43.0
Citrus Heights,CA,LOOP,2,42,0.0,100.0,56.29
San Luis Obispo,CA,Blink Network,2,42,0.0,100.0,62.86
Cerritos,CA,ChargePoint Network,23,42,4.76,95.24,42.71
San Marcos,CA,ChargePoint Network,25,42,4.76,95.24,42.43
San Rafael,CA,Non-Networked,2,42,0.0,100.0,62.57
Sacramento,CA,Blink Network,11,41,4.88,95.12,54.43
Valencia,CA,Tesla,2,40,100.0,0.0,43.29
Long Beach,CA,Tesla,3,40,100.0,0.0,42.71
Diamond Bar,CA,Tesla,2,40,100.0,0.0,42.14
Riverside,CA,Tesla,2,40,100.0,0.0,41.57
Fresno,CA,Non-Networked,5,40,10.0,35.0,56.29
Santa Clarita,CA,Tesla,2,40,100.0,0.0,41.0
Pomona,CA,Tesla,2,40,100.0,0.0,40.43
East Palo Alto,CA,Tesla,2,40,100.0,0.0,40.0
Redlands,CA,Tesla,2,40,100.0,0.0,40.0
Alhambra,CA,Tesla,3,40,100.0,0.0,40.0
West Sacramento,CA,ChargePoint Network,27,40,22.5,77.5,42.0
Lake Forest,CA,ChargePoint Network,21,40,0.0,100.0,41.57
Sherman Oaks,CA,Tesla,1,40,100.0,0.0,40.0
Ontario,CA,VIALYNK,1,40,0.0,100.0,47.0
Panorama City,CA,EVIUM,1,40,0.0,100.0,47.0
Vista,CA,Tesla,2,40,100.0,0.0,40.0
Inglewood,CA,Tesla,2,40,100.0,0.0,40.0
San Francisco,CA,CHARGIE,1,40,0.0,100.0,115.5
Huntington Beach,CA,NOODOE,1,39,0.0,100.0,89.5
Rancho Cordova,CA,ChargePoint Network,22,39,10.26,89.74,41.0
Modesto,CA,ChargePoint Network,23,39,17.95,82.05,40.57
Whittier,CA,EVRANGE,2,39,17.95,82.05,39.0
Stockton,CA,ChargePoint Network,22,39,0.0,100.0,40.14
Stockton,CA,Blink Network,3,39,0.0,100.0,46.86
Torrance,CA,Blink Network,14,39,12.82,87.18,44.71
Healdsburg,CA,ChargePoint Network,28,39,0.0,100.0,39.71
Palo Alto,CA,Tesla,2,39,100.0,0.0,39.86
Skyforest,CA,EVGATEWAY,1,39,0.0,100.0,77.67
West Hollywood,CA,AMPUP,1,39,0.0,100.0,227.5
Mission Viejo,CA,ChargePoint Network,21,38,0.0,100.0,39.14
San Diego,CA,OpConnect,2,38,0.0,100.0,76.5
Palm Springs,CA,Tesla Destination,13,38,0.0,100.0,62.14
Brisbane,CA,Blink Network,1,38,0.0,100.0,42.57
Agoura Hills,CA,LOOP,2,38,0.0,100.0,52.14
Lincoln,CA,ChargePoint Network,20,38,0.0,100.0,38.86
Cupertino,CA,Tesla,2,38,100.0,0.0,39.57
Oakland,CA,eVgo Network,6,38,100.0,0.0,77.4
Lodi,CA,ChargePoint Network,23,37,13.51,86.49,38.43
Lake Elsinore,CA,Tesla,2,37,100.0,0.0,39.14
Los Angeles,CA,EPIC_CHARGING,2,37,0.0,100.0,37.0
