city,state,ev_network,total_stations,total_ports,dc_fast_pct,level2_pct,rolling_avg_ports
Loomis,CA,Electrify America,1,14,100.0,0.0,15.57
San Clemente,CA,SHELL_RECHARGE,1,14,100.0,0.0,140.67
Corona,CA,Tesla Destination,4,14,0.0,100.0,14.0
La Habra,CA,ChargePoint Network,8,14,14.29,85.71,14.0
Apple Valley,CA,ChargePoint Network,7,14,0.0,100.0,14.0
Manhattan Beach,CA,eVgo Network,4,14,100.0,0.0,14.43
Oakland,CA,Blink Network,3,14,0.0,100.0,14.57
Belvedere Tiburon,CA,ChargePoint Network,7,14,0.0,100.0,14.0
Manteca,CA,eVgo Network,2,14,100.0,0.0,14.29
Sebastopol,CA,ChargePoint Network,9,14,0.0,100.0,14.0
Windsor,CA,Tesla Destination,4,14,0.0,100.0,14.0
Hollywood,CA,Non-Networked,3,14,57.14,42.86,14.0
San Fernando,CA,ChargePoint Network,7,14,0.0,100.0,14.0
Santa Clara,CA,Electrify America,1,14,100.0,0.0,15.0
Seaside,CA,Tesla,2,14,100.0,0.0,14.14
Sylmar,CA,POWERFLEX,1,14,0.0,100.0,17.14
Irvine,CA,Electrify America,3,14,100.0,0.0,14.57
San Bernardino,CA,EVGATEWAY,2,14,0.0,100.0,15.86
Anaheim,CA,Electrify America,2,14,100.0,0.0,14.29
Indian Wells,CA,Tesla Destination,4,13,0.0,100.0,13.86
Woodland,CA,LOOP,3,13,0.0,100.0,17.14
San Simeon,CA,Tesla Destination,2,13,0.0,100.0,13.71
Half Moon Bay,CA,ChargePoint Network,7,13,0.0,100.0,13.86
Carmichael,CA,LOOP,2,13,0.0,100.0,16.14
Cambria,CA,Tesla Destination,6,13,0.0,100.0,13.57
San Diego,CA,EVCS,4,13,69.23,30.77,16.29
McFarland,CA,ChargePoint Network,6,13,30.77,69.23,13.71
Los Angeles,CA,EVMATCH,3,13,0.0,100.0,15.8
Santa Maria,CA,EVCS,2,13,69.23,30.77,15.14
Plymouth,CA,Tesla Destination,5,13,0.0,100.0,13.43
Livermore,CA,Electrify America,2,13,100.0,0.0,14.0
Moraga,CA,ChargePoint Network,7,13,0.0,100.0,13.57
Colton,CA,VIALYNK,5,13,0.0,100.0,30.0
Petaluma,CA,EV Connect,2,13,0.0,100.0,16.14
Brea,CA,Non-Networked,2,13,0.0,100.0,13.86
Truckee,CA,EVRANGE,3,13,30.77,69.23,22.5
Sunnyvale,CA,EVGATEWAY,1,13,0.0,100.0,15.14
Ontario,CA,Tesla Destination,2,13,0.0,100.0,13.29
Emeryville,CA,Electrify America,2,13,100.0,0.0,13.71
Carmichael,CA,ChargePoint Network,7,13,0.0,100.0,13.43
Huntington Beach,CA,Blink Network,5,13,0.0,100.0,14.29
Newport Beach,CA,Blink Network,4,13,0.0,100.0,14.0
Monterey,CA,Tesla Destination,6,13,0.0,100.0,13.14
Bakersfield,CA,EV Connect,2,13,0.0,100.0,15.14
Redding,CA,LOOP,2,13,0.0,100.0,15.14
Laguna Woods,CA,ChargePoint Network,8,13,23.08,76.92,13.29
Victorville,CA,eVgo Network,2,13,92.31,7.69,14.0
Fullerton,CA,LOOP,2,13,0.0,100.0,14.29
La Cañada Flintridge,CA,ChargePoint Network,9,13,0.0,100.0,13.14
Downey,CA,eVgo Network,3,13,92.31,7.69,13.71
Lake Forest,CA,LOOP,1,13,0.0,100.0,13.86
Irwindale,CA,Blink Network,1,13,0.0,100.0,13.71
Menlo Park,CA,Tesla Destination,2,13,0.0,100.0,13.0
Calexico,CA,CHAEVI,1,12,66.67,33.33,14.0
El Cajon,CA,eVgo Network,2,12,100.0,0.0,13.43
Cameron Park,CA,Tesla,1,12,100.0,0.0,13.71
Rialto,CA,eVgo Network,2,12,100.0,0.0,13.14
Arcata,CA,Tesla,1,12,100.0,0.0,13.43
Ojai,CA,Tesla,1,12,100.0,0.0,13.14
Lakeside,CA,Tesla,1,12,100.0,0.0,12.86
Pismo Beach,CA,Tesla,1,12,100.0,0.0,12.57
Mill Valley,CA,Tesla,1,12,100.0,0.0,12.29
Cerritos,CA,LOOP,1,12,16.67,83.33,13.29
Lomita,CA,POWERFLEX,2,12,0.0,100.0,16.0
El Cerrito,CA,eVgo Network,1,12,100.0,0.0,12.86
Elk Grove,CA,eVgo Network,2,12,100.0,0.0,12.57
Ripon,CA,Tesla,1,12,100.0,0.0,12.0
Newport Beach,CA,Tesla,1,12,100.0,0.0,12.0
Oakville,CA,Tesla Destination,5,12,0.0,100.0,12.86
Mountain View,CA,FLO,2,12,0.0,100.0,144.33
Valley Springs,CA,Tesla,1,12,100.0,0.0,12.0
Gardena,CA,WATT_EV,1,12,100.0,0.0,28.0
Olympic Valley,CA,EVRANGE,1,12,0.0,100.0,20.4
Coronado,CA,Non-Networked,1,12,0.0,100.0,13.57
Rocklin,CA,RIVIAN_ADVENTURE,1,12,100.0,0.0,12.0
Yreka,CA,Tesla,1,12,100.0,0.0,12.0
Newport Beach,CA,Tesla Destination,5,12,0.0,100.0,12.71
Sebastopol,CA,Tesla,1,12,100.0,0.0,12.0
Union City,CA,Tesla,1,12,100.0,0.0,12.0
Perris,CA,Tesla,1,12,100.0,0.0,12.0
Valley Center,CA,ChargePoint Network,7,12,0.0,100.0,12.86
West Covina,CA,ChargePoint Network,7,12,0.0,100.0,12.71
Pico Rivera,CA,EVGATEWAY,1,12,0.0,100.0,14.57
Gonzales,CA,Blink Network,1,12,0.0,100.0,13.29
Clovis,CA,Tesla,1,12,100.0,0.0,12.0
Bridgeport,CA,Tesla,1,12,100.0,0.0,12.0
Valencia,CA,ChargePoint Network,8,12,8.33,91.67,12.57
Cotati,CA,Tesla,1,12,100.0,0.0,12.0
Aliso Viejo,CA,Blink Network,4,12,0.0,100.0,13.0
Universal City,CA,Tesla Destination,2,12,0.0,100.0,12.57
Del Mar,CA,ChargePoint Network,7,12,0.0,100.0,12.43
Soda Springs,CA,Tesla,1,12,100.0,0.0,12.0
Santa Nella,CA,Tesla,1,12,100.0,0.0,12.0
Atwater,CA,Tesla,1,12,100.0,0.0,12.0
Moreno Valley,CA,Tesla,1,12,100.0,0.0,12.0
Livingston,CA,BP_PULSE,1,12,100.0,0.0,25.0
Roseville,CA,Non-Networked,4,12,8.33,91.67,13.29
San Francisco,CA,SHELL_RECHARGE,1,12,100.0,0.0,108.5
Redwood City,CA,EVGATEWAY,1,12,0.0,100.0,14.0
Alameda,CA,Tesla,1,12,100.0,0.0,12.0
Fort Bragg,CA,Tesla,1,12,100.0,0.0,12.0
Pacifica,CA,Tesla,1,12,100.0,0.0,12.0
Alhambra,CA,EVCS,2,12,0.0,100.0,14.14
Portola Valley,CA,POWERFLEX,1,12,100.0,0.0,15.0
Pacific Grove,CA,Tesla,1,12,100.0,0.0,12.0
San Juan Bautista,CA,NAYAX_ENERGY,1,12,100.0,0.0,17.33
Panorama City,CA,Blink Network,1,12,0.0,100.0,12.71
Santa Ana,CA,ROVE,1,12,100.0,0.0,16.0
Carlsbad,CA,Tesla Destination,2,12,0.0,100.0,12.43
Cathedral City,CA,ChargePoint Network,6,12,0.0,100.0,12.29
Burbank,CA,Tesla Destination,1,12,0.0,100.0,12.29
Universal City,CA,NOODOE,2,12,16.67,83.33,15.71
Mountain House,CA,Blink Network,1,12,0.0,100.0,12.43
Goleta,CA,Tesla,1,12,100.0,0.0,12.0
Rancho Murieta,CA,Tesla,1,12,100.0,0.0,12.0
West Sacramento,CA,NAYAX_ENERGY,1,12,100.0,0.0,16.0
Chula Vista,CA,GO_TO_U,1,12,100.0,0.0,12.0
Marina,CA,Tesla,1,12,100.0,0.0,12.0
Los Altos,CA,Tesla Destination,1,12,0.0,100.0,12.14
Atascadero,CA,ChargePoint Network,7,12,0.0,100.0,12.14
Azusa,CA,ChargePoint Network,6,12,0.0,100.0,12.0
San Francisco,CA,BP_PULSE,1,12,100.0,0.0,22.4
Northridge,CA,ChargePoint Network,6,12,0.0,100.0,12.0
Scotts Valley,CA,ChargePoint Network,6,12,0.0,100.0,12.0
Artesia,CA,LOOP,1,12,0.0,100.0,12.71
Inglewood,CA,eVgo Network,3,12,100.0,0.0,12.29
Agoura Hills,CA,EV Connect,1,12,0.0,100.0,14.29
St. Helena,CA,Tesla,1,12,100.0,0.0,12.0
Dixon,CA,Tesla,1,12,100.0,0.0,12.0
Calimesa,CA,Tesla,1,12,100.0,0.0,12.0
Baker,CA,Electrify America,1,12,100.0,0.0,13.43
Mariposa,CA,Tesla,1,12,100.0,0.0,12.0
Daly City,CA,ChargePoint Network,8,12,0.0,100.0,12.0
La Mesa,CA,Tesla,1,12,100.0,0.0,12.0
Grass Valley,CA,Tesla,1,12,100.0,0.0,12.0
Yucca Valley,CA,Blink Network,4,12,0.0,100.0,12.29
Pasadena,CA,EVCS,1,12,66.67,33.33,13.57
Chowchilla,CA,Tesla,1,12,100.0,0.0,12.0
Gustine,CA,Tesla,1,12,100.0,0.0,12.0
Norwalk,CA,Tesla Destination,1,12,0.0,100.0,12.0
Temecula,CA,LOOP,2,12,0.0,100.0,12.57
Walnut Creek,CA,eVgo Network,2,12,100.0,0.0,12.14
Manteca,CA,Electrify America,2,12,83.33,16.67,13.14
Copperopolis,CA,Tesla,1,12,100.0,0.0,12.0
Santa Ana,CA,Electrify America,3,12,75.0,25.0,12.86
Perris,CA,LOOP,2,12,0.0,100.0,12.43
Williams,CA,Tesla,1,12,100.0,0.0,12.0
Burlingame,CA,POWERFLEX,2,12,100.0,0.0,14.0
Kerman,CA,ChargePoint Network,8,12,0.0,100.0,12.0
Clovis,CA,EVCS,2,12,100.0,0.0,13.0
Rohnert Park,CA,Tesla,1,12,100.0,0.0,12.0
Palo Alto,CA,EVMATCH,1,12,0.0,100.0,15.17
Santa Cruz,CA,Blink Network,5,12,0.0,100.0,12.14
Moorpark,CA,eVgo Network,2,12,100.0,0.0,12.0
Carmichael CA,CA,eVgo Network,1,12,100.0,0.0,12.0
Desert Hot Springs,CA,ChargePoint Network,6,12,0.0,100.0,12.0
Rolling Hills Estates,CA,EV Connect,1,12,0.0,100.0,13.71
Newport Beach,CA,LOOP,2,12,0.0,100.0,12.29
Greenfield,CA,Tesla,1,12,100.0,0.0,12.0
Las Banos,CA,EV Connect,1,12,0.0,100.0,13.14
Temecula,CA,RIVIAN_ADVENTURE,1,12,100.0,0.0,12.0
Corning,CA,BP_PULSE,1,12,100.0,0.0,20.67
Murrieta,CA,Blink Network,1,12,0.0,100.0,12.0
Lindsay,CA,EV Connect,1,12,0.0,100.0,12.71
Merced,CA,Tesla,1,12,100.0,0.0,12.0
Paso Robles,CA,EVRANGE,2,12,83.33,16.67,19.0
Milpitas,CA,Electrify America,3,12,100.0,0.0,12.57
San Leandro,CA,Tesla,1,12,100.0,0.0,12.0
El Dorado Hills,CA,Tesla,1,12,100.0,0.0,12.0
Sand City,CA,Tesla,1,12,100.0,0.0,12.0
Joshua Tree,CA,RIVIAN_ADVENTURE,1,12,100.0,0.0,12.0
Hacienda Heights,CA,Tesla,1,12,100.0,0.0,12.0
Santa Rosa,CA,Blink Network,3,12,0.0,100.0,12.0
Lompoc,CA,Tesla,1,12,100.0,0.0,12.0
Huntington Park,CA,Tesla,1,12,100.0,0.0,12.0
Orange,CA,RIVIAN_ADVENTURE,1,12,100.0,0.0,12.0
Cottonwood,CA,Tesla,1,12,100.0,0.0,12.0
Valencia,CA,eVgo Network,3,12,100.0,0.0,12.0
Windsor,CA,Tesla,1,12,100.0,0.0,12.0
Pollock Pines,CA,Tesla,1,12,100.0,0.0,12.0
Ventura,CA,Electrify America,2,12,100.0,0.0,12.29
Rancho Mirage,CA,Tesla Destination,4,12,0.0,100.0,12.0
Castaic,CA,Tesla,1,12,100.0,0.0,12.0
San Ardo,CA,Tesla,1,12,100.0,0.0,12.0
Tulare,CA,ChargePoint Network,6,11,36.36,63.64,11.86
Rancho Mission Viejo,CA,ChargePoint Network,7,11,0.0,100.0,11.71
San Bruno,CA,Tesla Destination,2,11,0.0,100.0,11.86
Costa Mesa,CA,LOOP,2,11,0.0,100.0,12.0
Universal City,CA,Non-Networked,1,11,0.0,90.91,12.86
Irvine,CA,Tesla Destination,2,11,0.0,100.0,11.71
Cupertino,CA,Tesla Destination,3,11,0.0,100.0,11.57
Wilmington,CA,Non-Networked,3,11,54.55,45.45,12.43
Vacaville,CA,eVgo Network,3,11,90.91,9.09,11.86
Clovis,CA,CHARGELAB,1,11,0.0,100.0,23.14
Brea,CA,ChargePoint Network,9,11,36.36,63.64,11.57
Diamond Bar,CA,eVgo Network,3,11,100.0,0.0,11.71
Lathrop,CA,Tesla,1,11,100.0,0.0,11.86
Milpitas,CA,Blink Network,3,11,0.0,100.0,11.86
Calabasas,CA,ChargePoint Network,6,11,0.0,100.0,11.43
Fortuna,CA,ChargePoint Network,6,11,0.0,100.0,11.29
Tarzana,CA,Blink Network,1,11,0.0,100.0,11.71
El Segundo,CA,SYNERGEV,2,11,0.0,100.0,23.75
Mendota,CA,ChargePoint Network,7,11,0.0,100.0,11.14
Barstow,CA,ChargePoint Network,8,11,27.27,72.73,11.0
Lathrop,CA,ChargePoint Network,8,11,9.09,90.91,11.0
Eureka,CA,Tesla Destination,3,11,0.0,100.0,11.43
Laguna Beach,CA,ChargePoint Network,6,11,0.0,100.0,11.0
Atwater,CA,EVCS,2,11,18.18,81.82,12.43
Simi Valley,CA,Blink Network,2,11,9.09,90.91,11.57
Petaluma,CA,eVgo Network,2,11,90.91,9.09,11.57
Fremont,CA,Non-Networked,2,11,0.0,100.0,12.0
El Monte,CA,LOOP,1,11,0.0,100.0,11.71
Thousand Oaks,CA,eVgo Network,2,11,90.91,9.09,11.43
Placerville,CA,Tesla Destination,3,11,0.0,100.0,11.29
North Hollywood,CA,Blink Network,2,11,0.0,100.0,11.43
Ladera Ranch,CA,ChargePoint Network,6,11,0.0,100.0,11.0
South Pasadena,CA,Tesla,1,11,100.0,0.0,11.71
Chula Vista,CA,LOOP,3,11,0.0,100.0,11.57
Monrovia,CA,ChargePoint Network,10,11,63.64,36.36,11.0
Anaheim,CA,Non-Networked,2,11,0.0,90.91,11.57
Coronado,CA,ChargePoint Network,11,11,0.0,100.0,11.0
Westlake Village,CA,LOOP,3,11,0.0,100.0,11.43
Sacramento,CA,NOODOE,1,11,0.0,100.0,14.71
San Jose,CA,EV Connect,1,11,0.0,100.0,12.14
Menifee,CA,EV Connect,1,11,0.0,100.0,11.86
Santa Clarita,CA,EV Connect,1,10,0.0,100.0,11.43
Auburn,CA,Non-Networked,5,10,0.0,100.0,11.14
Ridgecrest,CA,EVGATEWAY,1,10,100.0,0.0,13.14
Palm Desert,CA,EV Connect,2,10,0.0,100.0,11.14
Tracy,CA,EVCS,1,10,20.0,80.0,11.86
Rialto,CA,ChargePoint Network,6,10,0.0,100.0,10.86
Bakersfield,CA,Blink Network,2,10,0.0,100.0,11.14
Murrieta,CA,eVgo Network,1,10,100.0,0.0,11.14
Huntington Beach,CA,Electrify America,2,10,90.0,10.0,11.86
Arvin,CA,Non-Networked,1,10,0.0,100.0,10.86
San Luis Obispo,CA,Electrify America,1,10,100.0,0.0,11.43
Ontario,CA,LOOP,2,10,0.0,100.0,11.14
Fresno,CA,RIVIAN_ADVENTURE,1,10,100.0,0.0,11.6
Sunnyvale,CA,Non-Networked,3,10,0.0,100.0,10.57
Visalia,CA,UNIVERSAL,1,10,0.0,100.0,10.0
Gustine,CA,Non-Networked,1,10,0.0,0.0,10.43
Manhattan Beach,CA,EV Connect,1,10,0.0,100.0,10.86
West Puente Valley,CA,EVCS,1,10,0.0,100.0,11.43
Montebello,CA,Non-Networked,2,10,0.0,100.0,10.29
Redding,CA,AMPUP,1,10,0.0,100.0,89.83
El Dorado Hills,CA,ChargePoint Network,6,10,0.0,100.0,10.71
Vista,CA,IONNA,1,10,100.0,0.0,13.33
Fresno,CA,INTERTIE,1,10,0.0,100.0,15.0
Wildomar,CA,Blink Network,1,10,0.0,100.0,10.86
Daly City,CA,eVgo Network,3,10,80.0,20.0,10.86
Pleasanton,CA,Non-Networked,1,10,0.0,100.0,10.14
Claremont,CA,Blink Network,4,10,0.0,100.0,10.57
Barstow,CA,Blink Network,1,10,0.0,100.0,10.43
Oakdale,CA,ChargePoint Network,6,10,20.0,80.0,10.57
Seal Beach,CA,ChargePoint Network,7,10,0.0,100.0,10.43
Port Hueneme,CA,ChargePoint Network,6,10,0.0,100.0,10.29
Murrieta,CA,AMPUP,1,10,0.0,100.0,78.43
Santa Barbara,CA,TURNONGREEN,2,10,0.0,100.0,12.0
Barstow,CA,EVGATEWAY,1,10,0.0,100.0,12.29
Chatsworth Lake Manor,CA,LOOP,1,10,0.0,100.0,10.86
National City,CA,Electrify America,2,10,90.0,10.0,11.14
Cypress,CA,eVgo Network,2,10,100.0,0.0,10.57
Napa,CA,AUTEL,1,10,0.0,100.0,33.67
Pebble Beach,CA,Tesla Destination,2,10,0.0,100.0,11.0
Palo Alto,CA,Electrify America,2,10,100.0,0.0,10.86
McClellan Park,CA,ChargePoint Network,5,10,0.0,100.0,10.14
Hesperia,CA,Electrify America,1,10,100.0,0.0,10.57
Hanford,CA,CHARGIE,1,10,0.0,100.0,55.4
West Sacramento,CA,Non-Networked,1,10,0.0,100.0,10.0
Simi Valley,CA,Non-Networked,4,10,20.0,80.0,10.0
San Gabriel,CA,ChargePoint Network,1,10,0.0,100.0,10.0
Newbury Park,CA,Non-Networked,4,10,0.0,50.0,10.0
Lake Forest,CA,Non-Networked,3,10,0.0,100.0,10.0
Pleasanton,CA,POWERFLEX,1,10,0.0,100.0,13.0
Geyserville,CA,INTERTIE,1,10,80.0,20.0,13.33
La Jolla,CA,eVgo Network,2,10,100.0,0.0,10.43
Mill Valley,CA,ChargePoint Network,6,10,0.0,100.0,10.0
San Diego Country Estates,CA,EVGATEWAY,1,10,100.0,0.0,11.57
Richmond,CA,AMPUP,1,10,0.0,100.0,20.43
San Marcos,CA,LOOP,1,10,0.0,100.0,10.57
Duarte,CA,EVGATEWAY,1,10,0.0,100.0,11.0
Highland,CA,Electrify America,1,10,100.0,0.0,10.29
Modesto,CA,EVCS,2,10,20.0,80.0,11.0
Trona,CA,EVGATEWAY,1,10,0.0,100.0,10.57
Santa Rosa,CA,CHARGENET,1,10,100.0,0.0,10.0
Escondido,CA,Electrify America,2,10,90.0,10.0,10.0
Visalia,CA,CHARGIE,1,10,0.0,100.0,47.83
Yuba City,CA,Tesla,1,10,100.0,0.0,11.43
Santa Ynez,CA,Non-Networked,1,10,0.0,100.0,10.0
Calexico,CA,ChargePoint Network,7,10,0.0,100.0,10.0
Lancaster,CA,Electrify America,1,10,100.0,0.0,10.0
Kettleman City,CA,Electrify America,1,10,100.0,0.0,10.0
Arroyo Grande,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Milpitas,CA,LOOP,1,10,0.0,100.0,10.43
Stockton,CA,Electrify America,2,10,80.0,20.0,10.0
los Angeles,CA,ABM,2,10,20.0,80.0,19.0
Santa Ynez,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Paradise,CA,EVCS,1,10,80.0,20.0,10.71
Redondo Beach,CA,eVgo Network,2,10,100.0,0.0,10.29
Lost Hills,CA,NOODOE,1,10,0.0,100.0,13.57
Camarillo,CA,Electrify America,1,10,100.0,0.0,10.0
Vacaville,CA,Electrify America,2,10,80.0,20.0,10.0
Foster City,CA,Electrify America,1,10,100.0,0.0,10.0
Torrance,CA,Electrify America,2,10,90.0,10.0,10.0
Chino Hills,CA,Electrify America,1,10,100.0,0.0,10.0
El Cajon,CA,Electrify America,2,10,100.0,0.0,10.0
Antioch,CA,Tesla,1,10,100.0,0.0,11.14
Redding,CA,EVCS,1,10,0.0,100.0,10.43
Mettler,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Lompoc,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Pittsburg,CA,FLO,1,10,0.0,100.0,110.75
Newark,CA,SYNERGEV,1,10,0.0,100.0,21.0
Fort Bragg,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Mission Viejo,CA,Electrify America,2,10,100.0,0.0,10.0
San Bruno,CA,EPIC_CHARGING,1,10,0.0,100.0,23.5
Rialto,CA,EVGATEWAY,1,10,0.0,100.0,10.29
Corte Madera,CA,Tesla,1,10,100.0,0.0,10.86
Hollister,CA,ChargePoint Network,8,10,30.0,70.0,10.0
Santa Rosa,CA,eVgo Network,2,10,100.0,0.0,10.14
San Clemente,CA,eVgo Network,1,10,100.0,0.0,10.0
Los Banos,CA,Tesla,1,10,100.0,0.0,10.57
San Bernardino,CA,eVgo Network,2,10,100.0,0.0,10.0
Santa Paula,CA,ChargePoint Network,6,10,20.0,80.0,10.0
Hollywood,CA,EVCS,1,10,100.0,0.0,10.14
Rancho Palos Verdes,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Ahwahnee,CA,Tesla Destination,1,10,0.0,100.0,10.71
South San Francisco,CA,Tesla Destination,1,10,0.0,100.0,10.57
Oceanside,CA,Electrify America,1,10,100.0,0.0,10.0
La Mesa,CA,POWERFLEX,1,10,0.0,100.0,12.14
Eureka,CA,EVCS,2,10,0.0,100.0,10.0
Rosemead,CA,EVGATEWAY,1,10,0.0,100.0,10.0
San Jose,CA,CHAEVI,1,10,100.0,0.0,12.67
Berkeley,CA,EV Connect,1,10,100.0,0.0,10.57
Sonoma,CA,Tesla Destination,3,10,0.0,100.0,10.43
Lakeside,CA,eVgo Network,1,10,100.0,0.0,10.0
Rohnert Park,CA,Tesla Destination,2,10,0.0,100.0,10.29
Ojai,CA,Blink Network,2,10,0.0,100.0,10.29
Industry,CA,LOOP,1,10,0.0,100.0,10.29
Culver City,CA,Electrify America,1,10,100.0,0.0,10.0
Torrance,CA,FLIPTURN,1,10,40.0,60.0,10.0
Ramona,CA,ChargePoint Network,5,10,0.0,100.0,10.0
Folsom,CA,LOOP,1,10,0.0,100.0,10.14
Arcadia,CA,Electrify America,2,10,90.0,10.0,10.0
Pleasant Hill,CA,eVgo Network,2,10,100.0,0.0,10.0
Escondido,CA,Blink Network,4,10,0.0,100.0,10.14
Geyserville,CA,Tesla Destination,5,10,0.0,100.0,10.14
San Marcos,CA,Tesla Destination,4,10,0.0,100.0,10.0
Hollister,CA,eVgo Network,1,10,100.0,0.0,10.0
Visalia,CA,Electrify America,1,10,100.0,0.0,10.0
Torrance,CA,eVgo Network,3,10,100.0,0.0,10.0
Santa Clara,CA,FLASH,1,9,0.0,100.0,82.33
Buttonwillow,CA,RIVIAN_ADVENTURE,1,9,100.0,0.0,11.17
Mount Shasta,CA,ChargePoint Network,5,9,33.33,66.67,9.86
Oceanside,CA,Blink Network,2,9,22.22,77.78,9.86
Alameda,CA,eVgo Network,1,9,100.0,0.0,9.86
Lancaster,CA,Blink Network,2,9,0.0,100.0,9.71
Fowler,CA,Non-Networked,3,9,0.0,100.0,9.86
Rutherford,CA,Tesla Destination,3,9,0.0,100.0,9.86
Glendale,CA,Blink Network,2,9,0.0,100.0,9.57
Shafter,CA,Non-Networked,1,9,0.0,100.0,9.71
La Jolla,CA,Blink Network,2,9,0.0,100.0,9.43
Anaheim,CA,EV Connect,2,9,0.0,100.0,10.14
Turlock,CA,Non-Networked,4,9,0.0,100.0,9.57
San Bernardino,CA,EV Connect,1,9,0.0,100.0,9.86
Orange,CA,Electrify America,2,9,88.89,11.11,9.86
South San Francisco,CA,eVgo Network,2,9,100.0,0.0,9.71
Tustin,CA,eVgo Network,2,9,88.89,11.11,9.57
Dublin,CA,EV Connect,1,9,0.0,100.0,9.57
Brentwood,CA,Tesla Destination,2,9,0.0,100.0,9.71
Danville,CA,EVCS,4,9,11.11,88.89,9.86
Santa Clara,CA,Non-Networked,3,9,22.22,77.78,9.43
Gold River,CA,LOOP,1,9,0.0,100.0,9.86
Oroville,CA,EVCS,1,9,88.89,11.11,9.71
Redding,CA,TURNONGREEN,2,9,0.0,100.0,11.0
Mountain View,CA,Blink Network,2,9,0.0,100.0,9.29
Valencia,CA,EV Connect,1,9,0.0,100.0,9.43
Ontario,CA,Non-Networked,2,9,0.0,100.0,9.29
San Pedro,CA,Non-Networked,5,9,0.0,100.0,9.14
Imperial,CA,ChargePoint Network,5,9,0.0,100.0,9.71
Cupertino,CA,eVgo Network,3,9,66.67,33.33,9.43
Walnut Creek,CA,Electrify America,2,9,88.89,11.11,9.71
Big Sur,CA,Tesla Destination,3,9,0.0,100.0,9.57
Santa Barbara,CA,eVgo Network,3,9,100.0,0.0,9.29
Cotati,CA,ChargePoint Network,6,9,0.0,100.0,9.57
San Bernardino,CA,RIVIAN_ADVENTURE,1,9,100.0,0.0,10.86
Sherman Oaks,CA,eVgo Network,2,9,100.0,0.0,9.14
Poway,CA,ChargePoint Network,6,9,0.0,100.0,9.43
Esparto,CA,ChargePoint Network,5,9,0.0,100.0,9.29
Camarillo,CA,Non-Networked,3,9,0.0,100.0,9.0
Irvine,CA,eVgo Network,3,9,100.0,0.0,9.0
Santa Monica,CA,Blink Network,5,9,0.0,100.0,9.14
Los Alamitos,CA,Blink Network,1,9,0.0,100.0,9.0
Petaluma,CA,Tesla Destination,2,9,0.0,100.0,9.43
Irvine,CA,AMPUP,1,9,0.0,100.0,16.14
Castro Valley,CA,ChargePoint Network,6,9,0.0,100.0,9.14
Laguna Hills,CA,NOODOE,1,9,0.0,100.0,12.43
Red Bluff,CA,ChargePoint Network,6,9,33.33,66.67,9.0
Lake Elsinore,CA,Non-Networked,2,8,0.0,100.0,8.86
Richmond,CA,Electrify America,2,8,100.0,0.0,9.43
South San Francisco,CA,REVEL,1,8,100.0,0.0,8.0
Folsom,CA,Non-Networked,2,8,0.0,100.0,8.71
Solvang,CA,TURNONGREEN,2,8,0.0,100.0,10.25
HERMOSA BEACH,CA,EVGATEWAY,1,8,0.0,100.0,9.71
Lemon Grove,CA,eVgo Network,1,8,100.0,0.0,8.86
Vallejo,CA,EVCS,1,8,100.0,0.0,9.43
Hawhorne,CA,eVgo Network,1,8,100.0,0.0,8.71
Wilmington,CA,EVCS,1,8,100.0,0.0,9.14
Poway,CA,eVgo Network,1,8,100.0,0.0,8.57
Ventura,CA,RIVIAN_ADVENTURE,1,8,100.0,0.0,10.29
Santa Maria,CA,eVgo Network,1,8,100.0,0.0,8.43
Santa Ana,CA,EVCS,1,8,100.0,0.0,8.86
Roseville,CA,EVGATEWAY,1,8,0.0,100.0,9.43
Visalia,CA,FLO,1,8,0.0,100.0,90.2
Laytonville,CA,Tesla,1,8,100.0,0.0,10.0
Hayward,CA,EVGATEWAY,1,8,100.0,0.0,9.14
Sacramento,CA,IONNA,1,8,100.0,0.0,12.0
Redwood Valley,CA,FLO,1,8,0.0,100.0,76.5
Newark,CA,Tesla Destination,3,8,0.0,100.0,9.14
Marina,CA,eVgo Network,1,8,100.0,0.0,8.29
Orland,CA,eVgo Network,2,8,100.0,0.0,8.14
Carlsbad,CA,CHARGELAB,1,8,0.0,100.0,19.57
Lake Arrowhead,CA,Tesla,1,8,100.0,0.0,9.57
Orange,CA,Blink Network,2,8,0.0,100.0,8.86
St. Helena,CA,ChargePoint Network,5,8,0.0,100.0,8.86
Jackson,CA,Tesla,1,8,100.0,0.0,9.14
Pomona,CA,eVgo Network,1,8,100.0,0.0,8.0
Jamul,CA,Non-Networked,1,8,0.0,100.0,8.57
Emeryville,CA,Blink Network,1,8,0.0,100.0,8.71
Morgan Hill,CA,Tesla Destination,2,8,0.0,100.0,8.86
Chula Vista,CA,ELECTRIC_ERA,1,8,100.0,0.0,8.0
Newport Beach,CA,Electrify America,1,8,100.0,0.0,9.14
Van Nuys,CA,AMPUP,8,8,0.0,100.0,13.0
Livermore,CA,EVGATEWAY,1,8,100.0,0.0,8.86
Yountville,CA,Tesla Destination,3,8,0.0,100.0,8.57
