city,state,ev_network,total_stations,total_level1_ports,total_level2_ports,total_dc_fast_ports,total_ports,avg_ports_per_station,dc_fast_pct,level2_pct,created_at
Glendale,CA,Tesla,3,0,0,52,52,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Simi Valley,CA,Tesla,3,0,0,52,52,17.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Fairfield,CA,ChargePoint Network,28,0,49,2,51,1.82,3.92,96.08,2026-06-21 21:47:05.311903+00
Palm Springs,CA,ChargePoint Network,32,0,44,7,51,1.59,13.73,86.27,2026-06-21 21:47:05.311903+00
Santa Monica,CA,Tesla Destination,14,0,51,0,51,3.64,0.00,100.00,2026-06-21 21:47:05.311903+00
Sunnyvale,CA,Tesla,4,0,0,50,50,12.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Bakersfield,CA,WATT_EV,1,0,0,50,50,50.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Carlsbad,CA,Tesla,3,0,0,50,50,16.67,100.00,0.00,2026-06-21 21:47:05.311903+00
Salinas,CA,ChargePoint Network,29,0,45,4,49,1.69,8.16,91.84,2026-06-21 21:47:05.311903+00
San Jose,CA,Electrify America,11,0,5,44,49,4.45,89.80,10.20,2026-06-21 21:47:05.311903+00
Novato,CA,ChargePoint Network,30,0,39,9,48,1.60,18.75,81.25,2026-06-21 21:47:05.311903+00
Santa Ana,CA,Tesla,2,0,0,48,48,24.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Inglewood,CA,BP_PULSE,1,0,0,48,48,48.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Manteca,CA,Tesla,3,0,0,48,48,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Maria,CA,Tesla,3,0,0,48,48,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Hayward,CA,Tesla,3,0,0,48,48,16.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Colton,CA,Non-Networked,3,0,6,41,47,15.67,87.23,12.77,2026-06-21 21:47:05.311903+00
Sun Village,CA,LOOP,1,0,47,0,47,47.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redwood City,CA,Blink Network,2,0,47,0,47,23.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Redding,CA,ChargePoint Network,33,0,28,19,47,1.42,40.43,59.57,2026-06-21 21:47:05.311903+00
Dublin,CA,NOODOE,11,0,46,0,46,4.18,0.00,100.00,2026-06-21 21:47:05.311903+00
Murrieta,CA,ChargePoint Network,30,0,37,9,46,1.53,19.57,80.43,2026-06-21 21:47:05.311903+00
Folsom,CA,Tesla,3,0,0,46,46,15.33,100.00,0.00,2026-06-21 21:47:05.311903+00
