city,state,ev_network,total_stations,total_level1_ports,total_level2_ports,total_dc_fast_ports,total_ports,avg_ports_per_station,dc_fast_pct,level2_pct,created_at
McFarland,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Seal Beach,CA,Electrify America,2,0,0,8,8,4.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Monica,CA,CHARGELAB,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mission Viejo,CA,LOOP,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Anderson,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Solana Beach,CA,Blink Network,4,0,8,0,8,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redlands,CA,Tesla Destination,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Susanville,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Ynez,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Stinson Beach,CA,Non-Networked,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Jose,CA,ABM,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redondo Beach,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Atascadero,CA,AMPUP,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Maria,CA,EVGATEWAY,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Vallejo,CA,EVCS,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Van Nuys,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lake Elsinore,CA,Non-Networked,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rolling Hills Estates,CA,ChargePoint Network,4,0,8,0,8,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Bell,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Quincy,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,eVgo Network,2,0,0,8,8,4.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Marina,CA,EVBOLT,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Yreka,CA,ELECTRIC_ERA,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Redding,CA,eVgo Network,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Universal City,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Morro Bay,CA,Tesla,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Calipatria,CA,EVRANGE,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Alpine,CA,Tesla Destination,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Oxnard,CA,eVgo Network,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Salinas,CA,EVRANGE,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Concord,CA,Electrify America,2,0,1,7,8,4.00,87.50,12.50,2026-06-21 21:47:05.311903+00
Corte Madera,CA,Blink Network,2,0,8,0,8,4.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Ventura,CA,Tesla Destination,3,0,8,0,8,2.67,0.00,100.00,2026-06-21 21:47:05.311903+00
Tracy,CA,LOOP,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Torrance,CA,Non-Networked,5,0,7,1,8,1.60,12.50,87.50,2026-06-21 21:47:05.311903+00
San Leandro,CA,Electrify America,2,0,1,7,8,4.00,87.50,12.50,2026-06-21 21:47:05.311903+00
Beverly Hills,CA,Non-Networked,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Half Moon Bay,CA,Tesla Destination,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
West Covina,CA,NAYAX_ENERGY,1,0,0,8,8,8.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,Non-Networked,4,0,7,1,8,2.00,12.50,87.50,2026-06-21 21:47:05.311903+00
West Hills,CA,FLO,1,0,8,0,8,8.00,0.00,100.00,2026-06-21 21:47:05.311903+00
McFarland,CA,ChargePoint Network,5,0,6,2,8,1.60,25.00,75.00,2026-06-21 21:47:05.311903+00
Torrance,CA,EV Connect,3,0,7,0,7,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
El Cajon,CA,LOOP,1,0,5,2,7,7.00,28.57,71.43,2026-06-21 21:47:05.311903+00
Ukiah,CA,Blink Network,4,0,5,2,7,1.75,28.57,71.43,2026-06-21 21:47:05.311903+00
Glendora,CA,LOOP,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Fremont,CA,Electrify America,2,0,1,6,7,3.50,85.71,14.29,2026-06-21 21:47:05.311903+00
Hollister,CA,EVCS,2,0,5,2,7,3.50,28.57,71.43,2026-06-21 21:47:05.311903+00
Brea,CA,Blink Network,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,TURNONGREEN,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
El Dorado Hills,CA,Non-Networked,3,0,7,0,7,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Elk Grove,CA,Non-Networked,4,0,3,4,7,1.75,57.14,42.86,2026-06-21 21:47:05.311903+00
Bloomington,CA,ChargePoint Network,6,0,7,0,7,1.17,0.00,100.00,2026-06-21 21:47:05.311903+00
Murphys,CA,Tesla Destination,3,0,7,0,7,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Petaluma,CA,Non-Networked,2,0,5,2,7,3.50,28.57,71.43,2026-06-21 21:47:05.311903+00
Santa Fe Springs,CA,ChargePoint Network,4,0,7,0,7,1.75,0.00,100.00,2026-06-21 21:47:05.311903+00
Pasadena,CA,Blink Network,3,0,6,1,7,2.33,14.29,85.71,2026-06-21 21:47:05.311903+00
Long Beach,CA,EV Connect,2,0,0,7,7,3.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Carmel Valley,CA,Tesla Destination,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Calimesa,CA,EV Connect,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redding,CA,Tesla Destination,3,0,7,0,7,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Lebec,CA,ChargePoint Network,5,0,4,3,7,1.40,42.86,57.14,2026-06-21 21:47:05.311903+00
Bakersfield,CA,Non-Networked,3,0,6,1,7,2.33,14.29,85.71,2026-06-21 21:47:05.311903+00
Wasco,CA,EVCS,3,0,6,1,7,2.33,14.29,85.71,2026-06-21 21:47:05.311903+00
Thousand Oaks,CA,Non-Networked,4,0,6,1,7,1.75,14.29,85.71,2026-06-21 21:47:05.311903+00
North Hollywood,CA,FLO,7,0,7,0,7,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Calabasas,CA,eVgo Network,3,0,0,7,7,2.33,100.00,0.00,2026-06-21 21:47:05.311903+00
Redwood City,CA,eVgo Network,2,0,1,6,7,3.50,85.71,14.29,2026-06-21 21:47:05.311903+00
Sonoma,CA,SYNERGEV,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Coronado,CA,OpConnect,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Ventura,CA,Blink Network,3,0,7,0,7,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Solana Beach,CA,Tesla Destination,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Olympic Valley,CA,Tesla Destination,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Van Nuys,CA,Tesla Destination,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Groveland,CA,Tesla,1,0,0,7,7,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lamont,CA,LOOP,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Brawley,CA,DIRT_ROAD,1,0,5,2,7,7.00,28.57,71.43,2026-06-21 21:47:05.311903+00
Richmond,CA,Blink Network,4,0,7,0,7,1.75,0.00,100.00,2026-06-21 21:47:05.311903+00
San Rafael,CA,Blink Network,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lemoore,CA,ChargePoint Network,4,0,6,1,7,1.75,14.29,85.71,2026-06-21 21:47:05.311903+00
San Rafael,CA,INTERTIE,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Corning,CA,CHARGELAB,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mendocino,CA,Non-Networked,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Mojave,CA,EV Connect,2,0,6,1,7,3.50,14.29,85.71,2026-06-21 21:47:05.311903+00
Ukiah,CA,Non-Networked,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Groveland,CA,ChargePoint Network,5,0,4,3,7,1.40,42.86,57.14,2026-06-21 21:47:05.311903+00
Burbank,CA,EV Connect,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Yuba City,CA,EVCS,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rancho Cucamonga,CA,Blink Network,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Van Nuys,CA,POWERFLEX,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Windsor,CA,ChargePoint Network,5,0,7,0,7,1.40,0.00,100.00,2026-06-21 21:47:05.311903+00
Northridge,CA,AMPUP,7,0,7,0,7,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chatsworth,CA,Non-Networked,5,0,7,0,7,1.40,0.00,100.00,2026-06-21 21:47:05.311903+00
Coalinga,CA,ChargePoint Network,6,0,4,3,7,1.17,42.86,57.14,2026-06-21 21:47:05.311903+00
Santee,CA,Non-Networked,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lincoln,CA,Blink Network,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Glendale,CA,Electrify America,2,0,1,6,7,3.50,85.71,14.29,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,eVgo Network,2,0,1,6,7,3.50,85.71,14.29,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,LOOP,1,0,5,2,7,7.00,28.57,71.43,2026-06-21 21:47:05.311903+00
Oakhurst,CA,Tesla Destination,3,0,7,0,7,2.33,0.00,100.00,2026-06-21 21:47:05.311903+00
Sonora,CA,ChargePoint Network,4,0,7,0,7,1.75,0.00,100.00,2026-06-21 21:47:05.311903+00
Encinitas,CA,eVgo Network,2,0,0,7,7,3.50,100.00,0.00,2026-06-21 21:47:05.311903+00
Oregon House,CA,AMPUP,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Corona,CA,CIRCLE_K,1,0,0,7,7,7.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rancho Santa Margarita,CA,LOOP,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rialto,CA,LOOP,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Pleasanton,CA,LOOP,2,0,7,0,7,3.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Paso Robles,CA,AMPUP,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Coronado,CA,NOODOE,1,0,7,0,7,7.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Del Monte Forest,CA,ChargePoint Network,4,0,4,2,6,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Los Angeles,CA,SHELL_RECHARGE,2,0,0,6,6,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Porterville,CA,EVCS,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Temple City,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hermosa Beach,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Soquel,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Montclair,CA,LOOP,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Covina,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Buena Park,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Brea,CA,LOOP,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Barbara,CA,Non-Networked,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Geyserville,CA,Non-Networked,1,0,2,4,6,6.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Hesperia,CA,ChargePoint Network,4,0,4,2,6,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
San Francisco,CA,INTERTIE,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Cardiff by the Sea,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carmel-By-The-Sea,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Fernando,CA,Tesla Destination,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Point Reyes Station,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Kirkwood,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Cruz,CA,EVGATEWAY,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lindsay,CA,ChargePoint Network,4,0,6,0,6,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Petaluma,CA,Blink Network,2,0,4,2,6,3.00,33.33,66.67,2026-06-21 21:47:05.311903+00
Yucca Valley,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Oakland,CA,Tesla Destination,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Gardena,CA,EV Connect,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Palo Alto,CA,NOODOE,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sanger,CA,EV Connect,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Piedmont,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
March Air Reserve Base,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Newport Beach,CA,Non-Networked,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Truckee,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Stanton,CA,ChargePoint Network,5,0,5,1,6,1.20,16.67,83.33,2026-06-21 21:47:05.311903+00
Barstow,CA,Non-Networked,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Crescent City,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Crescent City,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
McKinleyville,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Ojai,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Atherton,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Suisun City,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Madera,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Marina Del Rey,CA,EV Connect,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Moreno Valley,CA,EV Connect,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lake Elsinore,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Norco,CA,Blink Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Sherman Oaks,CA,EV Connect,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Costa Mesa,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Culver City,CA,eVgo Network,2,0,0,6,6,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Mammoth Lakes,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Ridgecrest,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Duarte,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Cathedral City,CA,Non-Networked,1,0,2,4,6,6.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Cabazon,CA,eVgo Network,1,0,2,4,6,6.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Corona,CA,EVCS,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Fortuna,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Rocklin,CA,Blink Network,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Marina del Rey,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Fairfield,CA,EV Connect,1,0,4,2,6,6.00,33.33,66.67,2026-06-21 21:47:05.311903+00
Ojai,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Bishop,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Redwood City,CA,SYNERGEV,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Carmel,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Huntington Beach,CA,Tesla Destination,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Corral de Tierra,CA,POWERPORT_EVC,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chula Vista,CA,Non-Networked,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Salinas,CA,Non-Networked,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Corte Madera,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Dixon,CA,ChargePoint Network,4,0,4,2,6,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Pismo Beach,CA,SWTCH,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Riverside,CA,FLASH,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lakeside,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Sacramento,CA,SHELL_RECHARGE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Fontana,CA,EVGATEWAY,2,0,2,4,6,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Alameda,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Lodi,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Campbell,CA,Non-Networked,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Barstow,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Pismo Beach,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Montebello,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
San Martin,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lemoore,CA,Tesla Destination,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Yreka,CA,ChargePoint Network,4,0,4,2,6,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Beaumont,CA,ChargePoint Network,5,0,2,4,6,1.20,66.67,33.33,2026-06-21 21:47:05.311903+00
Huntington Park,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Apple Valley,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Rosa,CA,Non-Networked,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Coalinga,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Rosa,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Suisun City,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Redlands,CA,Blink Network,2,0,4,2,6,3.00,33.33,66.67,2026-06-21 21:47:05.311903+00
Lindsay,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Vallejo,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
San Lorenzo,CA,ChargePoint Network,4,0,6,0,6,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Monrovia,CA,CHAEVI,2,0,0,6,6,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
South El Monte,CA,EV Connect,2,0,3,3,6,3.00,50.00,50.00,2026-06-21 21:47:05.311903+00
Inyokern,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Joshua Tree,CA,SWTCH,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Ukiah,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Boonville,CA,Non-Networked,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
El Centro,CA,EVGATEWAY,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Wasco,CA,Non-Networked,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Hanford,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
San Rafael,CA,LOOP,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Malibu,CA,Tesla Destination,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
BELLFLOWER,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Santa Clara,CA,EVMATCH,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Selma,CA,Electrify America,2,0,2,4,6,3.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Willits,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Lee Vining,CA,RIVIAN_ADVENTURE,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Norwalk,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
San Clemente,CA,LOOP,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mountain View,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Alpine,CA,Non-Networked,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Borrego Springs,CA,ChargePoint Network,4,0,6,0,6,1.50,0.00,100.00,2026-06-21 21:47:05.311903+00
Chula Vista,CA,eVgo Network,2,0,0,6,6,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
South San Francisco,CA,CHARGENET,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
East Palo Alto,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Oakland,CA,INTERTIE,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Coarsegold,CA,Non-Networked,2,0,6,0,6,3.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Simi Valley,CA,EVCS,1,0,2,4,6,6.00,66.67,33.33,2026-06-21 21:47:05.311903+00
Sacramento,CA,SWTCH,3,0,4,2,6,2.00,33.33,66.67,2026-06-21 21:47:05.311903+00
Chino,CA,EVCS,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Santa Maria,CA,TURNONGREEN,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
South Lake Tahoe,CA,ChargePoint Network,4,0,4,2,6,1.50,33.33,66.67,2026-06-21 21:47:05.311903+00
Citrus Heights,CA,Electrify America,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Beaumont,CA,Blink Network,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chino Hills,CA,eVgo Network,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Westminster,CA,AMPUP,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Rohnert Park,CA,CHARGENET,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Fontana,CA,EV Connect,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Chino Hills,CA,EVCS,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Sylmar,CA,AMPUP,6,0,6,0,6,1.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Mojave,CA,ChargePoint Network,5,0,2,4,6,1.20,66.67,33.33,2026-06-21 21:47:05.311903+00
Malibu,CA,EV Connect,1,0,6,0,6,6.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Buttonwillow,CA,Non-Networked,1,0,0,6,6,6.00,100.00,0.00,2026-06-21 21:47:05.311903+00
Ceres,CA,ChargePoint Network,3,0,6,0,6,2.00,0.00,100.00,2026-06-21 21:47:05.311903+00
Gardena,CA,eVgo Network,2,0,0,6,6,3.00,100.00,0.00,2026-06-21 21:47:05.311903+00
